Prediction(subscribed)	id
no	3001
no	3002
no	3003
no	3004
no	3005
no	3006
no	3007
no	3008
no	3009
no	3010
no	3011
no	3012
no	3013
no	3014
no	3015
no	3016
no	3017
no	3018
no	3019
no	3020
no	3021
no	3022
no	3023
no	3024
no	3025
no	3026
no	3027
no	3028
no	3029
no	3030
no	3031
no	3032
no	3033
no	3034
no	3035
no	3036
no	3037
no	3038
no	3039
no	3040
no	3041
no	3042
no	3043
no	3044
no	3045
no	3046
no	3047
no	3048
no	3049
no	3050
no	3051
no	3052
no	3053
no	3054
no	3055
no	3056
no	3057
no	3058
no	3059
no	3060
no	3061
no	3062
no	3063
no	3064
no	3065
no	3066
no	3067
no	3068
no	3069
no	3070
no	3071
no	3072
no	3073
no	3074
no	3075
no	3076
no	3077
no	3078
no	3079
no	3080
no	3081
no	3082
no	3083
no	3084
no	3085
no	3086
no	3087
no	3088
yes	3089
no	3090
no	3091
no	3092
no	3093
no	3094
no	3095
no	3096
no	3097
no	3098
no	3099
